news_outlet,name_sentiment,name_subjectivity
ABC,0.04047871094568468,0.25790041824381954
BBC,0.037400990726659936,0.21583903495630397
CBS,0.036024203358165106,0.2825389805012292
CNN,0.04637595990794857,0.26157684893764355
